S_TimeStamp,MeasurementValue
21 May 2016 01:00,7.2
21 May 2016 01:30,7.4
21 May 2016 02:00,6.2
21 May 2016 02:30,6
21 May 2016 03:00,5.8
21 May 2016 03:30,5.8
21 May 2016 04:00,5.4
21 May 2016 04:30,6
21 May 2016 05:00,6.4
21 May 2016 05:30,5.2
21 May 2016 06:00,5.4
21 May 2016 06:30,5.2
21 May 2016 07:00,5.8
21 May 2016 07:30,5.8
21 May 2016 08:00,5.2
21 May 2016 08:30,6
21 May 2016 09:00,5.8
21 May 2016 09:30,6.4
21 May 2016 10:00,6.6
21 May 2016 10:30,6.8
21 May 2016 11:00,6
21 May 2016 11:30,4.6
21 May 2016 12:00,7.8
21 May 2016 12:30,22
21 May 2016 13:00,34
21 May 2016 13:30,41.6
21 May 2016 14:00,48.2
21 May 2016 14:30,53.2
21 May 2016 15:00,56.8
21 May 2016 15:30,60.4
21 May 2016 16:00,60.4
21 May 2016 16:30,59.4
21 May 2016 17:00,56.6
21 May 2016 17:30,53.2
21 May 2016 18:00,48.6
21 May 2016 18:30,40.6
21 May 2016 19:00,31.2
21 May 2016 19:30,21.4
21 May 2016 20:00,9.2
21 May 2016 20:30,2.6
21 May 2016 21:00,6.8
21 May 2016 21:30,8.8
21 May 2016 22:00,8
21 May 2016 22:30,8
21 May 2016 23:00,7.8
21 May 2016 23:30,8
22 May 2016 00:00,8.6
22 May 2016 00:30,9
22 May 2016 01:00,7.2
22 May 2016 01:30,6
22 May 2016 02:00,6.2
22 May 2016 02:30,6
22 May 2016 03:00,6.8
22 May 2016 03:30,6.2
22 May 2016 04:00,5.6
22 May 2016 04:30,6.2
22 May 2016 05:00,5.4
22 May 2016 05:30,6
22 May 2016 06:00,6.4
22 May 2016 06:30,5.4
22 May 2016 07:00,5.4
22 May 2016 07:30,5.4
22 May 2016 08:00,5.8
22 May 2016 08:30,5
22 May 2016 09:00,5.8
22 May 2016 09:30,7
22 May 2016 10:00,6.6
22 May 2016 10:30,7.2
22 May 2016 11:00,5.8
22 May 2016 11:30,4.2
22 May 2016 12:00,4
22 May 2016 12:30,4.6
22 May 2016 13:00,8
22 May 2016 13:30,6
22 May 2016 14:00,2.8
22 May 2016 14:30,6.6
22 May 2016 15:00,13.6
22 May 2016 15:30,4
22 May 2016 16:00,11.2
22 May 2016 16:30,9.2
22 May 2016 17:00,1.6
22 May 2016 17:30,1.6
22 May 2016 18:00,1.6
22 May 2016 18:30,1.6
22 May 2016 19:00,1.2
22 May 2016 19:30,1.4
22 May 2016 20:00,4.4
22 May 2016 20:30,5
22 May 2016 21:00,6.8
22 May 2016 21:30,8.6
22 May 2016 22:00,8.8
22 May 2016 22:30,7.8
22 May 2016 23:00,7.4
22 May 2016 23:30,7.4
23 May 2016 00:00,7
23 May 2016 00:30,6.6
23 May 2016 01:00,6.4
23 May 2016 01:30,7
23 May 2016 02:00,6
23 May 2016 02:30,6.4
23 May 2016 03:00,7.2
23 May 2016 03:30,5.2
23 May 2016 04:00,5.2
23 May 2016 04:30,5.4
23 May 2016 05:00,5.2
23 May 2016 05:30,5.2
23 May 2016 06:00,4.8
23 May 2016 06:30,6
23 May 2016 07:00,4.8
23 May 2016 07:30,5.2
23 May 2016 08:00,5
23 May 2016 08:30,5
23 May 2016 09:00,4.8
23 May 2016 09:30,5.8
23 May 2016 10:00,7.2
23 May 2016 10:30,5.2
23 May 2016 11:00,6.2
23 May 2016 11:30,2.8
23 May 2016 12:00,7.2
23 May 2016 12:30,19.4
23 May 2016 13:00,22.2
23 May 2016 13:30,41.8
23 May 2016 14:00,46.4
23 May 2016 14:30,30.8
23 May 2016 15:00,46.2
23 May 2016 15:30,17.4
23 May 2016 16:00,16
23 May 2016 16:30,19.8
23 May 2016 17:00,16.2
23 May 2016 17:30,15.4
23 May 2016 18:00,11.2
23 May 2016 18:30,17
23 May 2016 19:00,3.4
23 May 2016 19:30,2.2
23 May 2016 20:00,5.8
23 May 2016 20:30,7
23 May 2016 21:00,8.8
23 May 2016 21:30,7.6
23 May 2016 22:00,7.6
23 May 2016 22:30,7.2
23 May 2016 23:00,7.4
23 May 2016 23:30,6.2
24 May 2016 00:00,6.2
24 May 2016 00:30,6.2
24 May 2016 01:00,5.6
24 May 2016 01:30,4.8
24 May 2016 02:00,5.8
24 May 2016 02:30,5.4
24 May 2016 03:00,4.8
24 May 2016 03:30,4.8
24 May 2016 04:00,4.8
24 May 2016 04:30,5
24 May 2016 05:00,5.8
24 May 2016 05:30,5
24 May 2016 06:00,4.8
24 May 2016 06:30,5
24 May 2016 07:00,4.4
24 May 2016 07:30,5.2
24 May 2016 08:00,5.8
24 May 2016 08:30,6.6
24 May 2016 09:00,6
24 May 2016 09:30,5.4
24 May 2016 10:00,4.2
24 May 2016 10:30,25.4
24 May 2016 11:00,26.6
24 May 2016 11:30,43
24 May 2016 12:00,16
24 May 2016 12:30,29
24 May 2016 13:00,46.4
24 May 2016 13:30,43.6
24 May 2016 14:00,26.2
24 May 2016 14:30,18.8
24 May 2016 15:00,14.4
24 May 2016 15:30,13.6
24 May 2016 16:00,5.4
24 May 2016 16:30,3.2
24 May 2016 17:00,1.6
24 May 2016 17:30,1.2
24 May 2016 18:00,3.8
24 May 2016 18:30,7
24 May 2016 19:00,8.8
24 May 2016 19:30,7.8
24 May 2016 20:00,7.4
24 May 2016 20:30,6.8
24 May 2016 21:00,7.2
24 May 2016 21:30,8.2
24 May 2016 22:00,7.2
24 May 2016 22:30,6.2
24 May 2016 23:00,5.8
24 May 2016 23:30,5.6
25 May 2016 00:00,5.8
25 May 2016 00:30,5.8
25 May 2016 01:00,6.4
25 May 2016 01:30,6.8
25 May 2016 02:00,6
25 May 2016 02:30,5.8
25 May 2016 03:00,5.6
25 May 2016 03:30,5.2
25 May 2016 04:00,5.4
25 May 2016 04:30,4.8
25 May 2016 05:00,6
25 May 2016 05:30,5
25 May 2016 06:00,5.2
25 May 2016 06:30,5.6
25 May 2016 07:00,5.6
25 May 2016 07:30,6.2
25 May 2016 08:00,6
25 May 2016 08:30,6.6
25 May 2016 09:00,4.6
25 May 2016 09:30,1.6
25 May 2016 10:00,7.8
25 May 2016 10:30,17
25 May 2016 11:00,22
25 May 2016 11:30,25.6
25 May 2016 12:00,26.6
25 May 2016 12:30,11.2
25 May 2016 13:00,51.2
25 May 2016 13:30,36
25 May 2016 14:00,37
25 May 2016 14:30,53.4
25 May 2016 15:00,49.8
25 May 2016 15:30,45
25 May 2016 16:00,14
25 May 2016 16:30,27.4
25 May 2016 17:00,19.6
25 May 2016 17:30,10.2
25 May 2016 18:00,2
25 May 2016 18:30,6.4
25 May 2016 19:00,8.4
25 May 2016 19:30,8.4
25 May 2016 20:00,8.2
25 May 2016 20:30,7.6
25 May 2016 21:00,7.8
25 May 2016 21:30,7.2
25 May 2016 22:00,8
25 May 2016 22:30,5.8
25 May 2016 23:00,5.8
25 May 2016 23:30,5.4
26 May 2016 00:00,5.4
26 May 2016 00:30,5.8
26 May 2016 01:00,6.4
26 May 2016 01:30,4.8
26 May 2016 02:00,4.8
26 May 2016 02:30,5
26 May 2016 03:00,5
26 May 2016 03:30,4.8
26 May 2016 04:00,5
26 May 2016 04:30,5.6
26 May 2016 05:00,6.2
26 May 2016 05:30,4.6
26 May 2016 06:00,4.6
26 May 2016 06:30,4.8
26 May 2016 07:00,5.6
26 May 2016 07:30,5.8
26 May 2016 08:00,6.8
26 May 2016 08:30,5.4
26 May 2016 09:00,2.6
26 May 2016 09:30,9
26 May 2016 10:00,21
26 May 2016 10:30,28.8
26 May 2016 11:00,39.2
26 May 2016 11:30,29.4
26 May 2016 12:00,52.6
26 May 2016 12:30,39.4
26 May 2016 13:00,54.4
