/home/aris/data/lamia.csv,MeasurementValue
1/7/2011 7:00,51.3
1/7/2011 7:30,55.29
1/7/2011 8:00,61.43
1/7/2011 8:30,70.03
1/7/2011 9:00,66.66
1/7/2011 9:30,68.19
1/7/2011 10:00,74.33
1/7/2011 10:30,72.81
1/7/2011 11:00,81.39
1/7/2011 11:30,79.26
1/7/2011 12:00,81.09
1/7/2011 12:30,80.18
1/7/2011 13:00,79.26
1/7/2011 13:30,71.87
1/7/2011 14:00,82.01
1/7/2011 14:30,77.72
1/7/2011 15:00,80.18
1/7/2011 15:30,74.94
1/7/2011 16:00,73.41
1/7/2011 16:30,74.03
1/7/2011 17:00,61.74
1/7/2011 17:30,66.96
1/7/2011 18:00,65.12
1/7/2011 18:30,60.83
1/7/2011 19:00,63.58
1/7/2011 19:30,63.28
1/7/2011 20:00,63.88
1/7/2011 20:30,55.29
1/7/2011 21:00,56.83
1/7/2011 21:30,45.77
1/7/2011 22:00,39.62
1/7/2011 22:30,42.08
1/7/2011 23:00,39.62
1/7/2011 23:30,39.32
1/8/2011,38.08
1/8/2011 0:30,34.41
1/8/2011 1:00,33.17
1/8/2011 1:30,28.26
1/8/2011 2:00,29.18
1/8/2011 2:30,33.47
1/8/2011 3:00,32.25
1/8/2011 3:30,32.25
1/8/2011 4:00,33.17
1/8/2011 4:30,28.56
1/8/2011 5:00,30.71
1/8/2011 5:30,28.26
1/8/2011 6:00,33.47
1/8/2011 6:30,32.55
1/8/2011 7:00,30.71
1/8/2011 7:30,35.93
1/8/2011 8:00,32.55
1/8/2011 8:30,35.33
1/8/2011 9:00,36.24
1/8/2011 9:30,35.93
1/8/2011 10:00,36.86
1/8/2011 10:30,39.62
1/8/2011 11:00,39.32
1/8/2011 11:30,34.09
1/8/2011 12:00,34.41
1/8/2011 12:30,37.46
1/8/2011 13:00,40.86
1/8/2011 13:30,35.01
1/8/2011 14:00,35.33
1/8/2011 14:30,32.25
1/8/2011 15:00,31.33
1/8/2011 15:30,31.63
1/8/2011 16:00,32.25
1/8/2011 16:30,32.87
1/8/2011 17:00,27.94
1/8/2011 17:30,30.71
1/8/2011 18:00,33.47
1/8/2011 18:30,29.18
1/8/2011 19:00,29.48
1/8/2011 19:30,30.09
1/8/2011 20:00,28.56
1/8/2011 20:30,27.64
1/8/2011 21:00,28.88
1/8/2011 21:30,27.94
1/8/2011 22:00,35.63
1/8/2011 22:30,32.25
1/8/2011 23:00,31.93
1/8/2011 23:30,28.26
1/9/2011,32.55
1/9/2011 0:30,27.02
1/9/2011 1:00,28.88
1/9/2011 1:30,25.8
1/9/2011 2:00,27.02
1/9/2011 2:30,29.18
1/9/2011 3:00,26.1
1/9/2011 3:30,24.26
1/9/2011 4:00,24.56
1/9/2011 4:30,23.94
1/9/2011 5:00,23.34
1/9/2011 5:30,24.88
1/9/2011 6:00,21.49
1/9/2011 6:30,23.03
1/9/2011 7:00,23.34
1/9/2011 7:30,20.27
1/9/2011 8:00,20.27
1/9/2011 8:30,19.95
1/9/2011 9:00,20.57
1/9/2011 9:30,21.19
1/9/2011 10:00,18.11
1/9/2011 10:30,15.96
1/9/2011 11:00,15.66
1/9/2011 11:30,15.04
1/9/2011 12:00,20.89
1/9/2011 12:30,18.73
1/9/2011 13:00,21.19
1/9/2011 13:30,21.19
1/9/2011 14:00,21.49
1/9/2011 14:30,21.49
1/9/2011 15:00,18.73
1/9/2011 15:30,18.43
1/9/2011 16:00,18.11
1/9/2011 16:30,18.43
1/9/2011 17:00,18.73
1/9/2011 17:30,19.03
1/9/2011 18:00,23.34
1/9/2011 18:30,22.73
1/9/2011 19:00,23.34
1/9/2011 19:30,21.81
1/9/2011 20:00,23.34
1/9/2011 20:30,19.95
1/9/2011 21:00,20.89
1/9/2011 21:30,20.57
1/9/2011 22:00,21.19
1/9/2011 22:30,18.43
1/9/2011 23:00,18.43
1/9/2011 23:30,17.49
1/10/2011,18.11
1/10/2011 0:30,19.65
1/10/2011 1:00,18.73
1/10/2011 1:30,18.43
1/10/2011 2:00,21.81
1/10/2011 2:30,21.81
1/10/2011 3:00,21.81
1/10/2011 3:30,18.73
1/10/2011 4:00,17.49
1/10/2011 4:30,18.11
1/10/2011 5:00,18.11
1/10/2011 5:30,18.11
1/10/2011 6:00,31.33
1/10/2011 6:30,50.36
1/10/2011 7:00,63.88
1/10/2011 7:30,77.4
1/10/2011 8:00,84.47
1/10/2011 8:30,92.46
1/10/2011 9:00,111.81
1/10/2011 9:30,115.5
1/10/2011 10:00,122.87
1/10/2011 10:30,118.88
1/10/2011 11:00,123.49
1/10/2011 11:30,117.04
1/10/2011 12:00,113.04
1/10/2011 12:30,113.66
1/10/2011 13:00,122.25
1/10/2011 13:30,120.41
1/10/2011 14:00,108.73
1/10/2011 14:30,109.35
1/10/2011 15:00,114.26
1/10/2011 15:30,109.05
1/10/2011 16:00,95.53
1/10/2011 16:30,96.75
1/10/2011 17:00,97.07
1/10/2011 17:30,93.08
1/10/2011 18:00,97.99
1/10/2011 18:30,86.93
1/10/2011 19:00,83.25
1/10/2011 19:30,87.54
1/10/2011 20:00,86.93
1/11/2011 0:30,47.61
1/11/2011 1:00,46.99
1/11/2011 1:30,44.53
1/11/2011 2:00,46.37
1/11/2011 2:30,51.9
1/11/2011 3:00,46.07
1/11/2011 3:30,47.61
1/11/2011 4:00,42.69
1/11/2011 4:30,46.07
1/11/2011 5:00,43.91
1/11/2011 5:30,51.6
1/11/2011 6:00,62.96
1/11/2011 6:30,67.88
1/11/2011 7:00,86.31
1/11/2011 7:30,102.28
1/11/2011 8:00,102.9
1/11/2011 8:30,107.21
1/11/2011 9:00,115.5
1/11/2011 9:30,117.04
1/11/2011 10:00,119.49
1/11/2011 10:30,135.15
1/11/2011 11:00,121.95
1/11/2011 11:30,119.49
1/11/2011 12:00,107.21
1/11/2011 12:30,115.5
1/11/2011 13:00,111.21
1/11/2011 13:30,113.34
1/11/2011 14:00,110.59
1/11/2011 14:30,105.68
1/11/2011 15:00,109.97
1/11/2011 15:30,101.36
1/11/2011 16:00,89.38
1/11/2011 16:30,89.08
1/11/2011 17:00,79.26
1/11/2011 17:30,80.18
1/11/2011 18:00,83.25
1/11/2011 18:30,84.17
1/11/2011 19:00,85.71
1/11/2011 19:30,78.02
1/11/2011 20:00,75.56
1/11/2011 20:30,81.71
1/11/2011 21:00,75.86
1/11/2011 21:30,71.57
1/11/2011 22:00,61.13
1/11/2011 22:30,66.34
1/11/2011 23:00,54.68
1/11/2011 23:30,53.76
1/12/2011,50.98
1/12/2011 0:30,52.22
1/12/2011 1:00,56.21
1/12/2011 1:30,53.44
1/12/2011 2:00,50.68
1/12/2011 2:30,57.13
1/12/2011 3:00,53.14
1/12/2011 3:30,53.44
1/12/2011 4:00,53.76
1/12/2011 4:30,56.51
1/12/2011 5:00,54.36
1/12/2011 5:30,57.43
1/12/2011 6:00,63.28
1/12/2011 6:30,71.57
1/12/2011 7:00,88.46
1/12/2011 7:30,95.83
1/12/2011 8:00,102.6
1/12/2011 8:30,120.71
1/12/2011 9:00,120.71
1/12/2011 9:30,121.33
1/12/2011 10:00,108.43
