DATE,I
2013-11-04 07:20,23.5
2013-11-04 07:30,23.6
2013-11-04 07:40,23.7
2013-11-04 07:50,23.6
2013-11-04 08:00,23.6
2013-11-04 08:10,22.7
2013-11-04 08:20,22.6
2013-11-04 08:30,22.6
2013-11-04 08:40,22.9
2013-11-04 08:50,7.3
2013-11-04 09:00,7
2013-11-04 09:10,7
2013-11-04 09:20,6.9
2013-11-04 09:30,7
2013-11-04 09:40,9.2
2013-11-04 09:50,9.7
2013-11-04 10:00,9.6
2013-11-04 10:10,9.5
2013-11-04 10:20,9.4
2013-11-04 10:30,10.6
2013-11-04 10:40,10.5
2013-11-04 10:50,10.5
2013-11-04 11:00,11.6
2013-11-04 11:10,11.8
2013-11-04 11:20,11.7
2013-11-04 11:30,12
2013-11-04 11:40,11.4
2013-11-04 11:50,24.5
2013-11-04 12:00,22.3
2013-11-04 12:10,22.8
2013-11-04 12:20,14
2013-11-04 12:30,13.4
2013-11-04 12:40,12.4
2013-11-04 12:50,12.3
2013-11-04 13:00,12.4
2013-11-04 13:10,12.3
2013-11-04 13:20,11.4
2013-11-04 13:30,11.3
2013-11-04 13:40,11.3
2013-11-04 13:50,11.3
2013-11-04 14:00,10.4
2013-11-04 14:10,10.4
2013-11-04 14:20,10.7
2013-11-04 14:30,10.4
2013-11-04 14:40,23.3
2013-11-04 14:50,23.5
2013-11-04 15:00,24.8
2013-11-04 15:10,25.1
2013-11-04 15:20,25.4
2013-11-04 15:30,25.4
2013-11-04 15:40,25.5
2013-11-04 15:50,25.4
2013-11-04 16:00,26.3
2013-11-04 16:10,27.9
2013-11-04 16:20,26
2013-11-04 16:30,26.3
2013-11-04 16:40,26.1
2013-11-04 16:50,21.8
2013-11-04 17:00,23
2013-11-04 17:10,34.1
2013-11-04 17:20,33.5
2013-11-04 17:30,34.7
2013-11-04 17:40,34.8
2013-11-04 17:50,49
2013-11-04 18:00,49
2013-11-04 18:10,49.7
2013-11-04 18:20,49
2013-11-04 18:30,24.7
2013-11-04 18:40,8.8
2013-11-04 18:50,7.8
2013-11-04 19:00,7.8
2013-11-04 19:10,7.8
2013-11-04 19:20,7.9
2013-11-04 19:30,7.9
2013-11-04 19:40,7.9
2013-11-04 19:50,7.8
2013-11-04 20:00,7.8
2013-11-04 20:10,7.9
2013-11-04 20:20,7.9
2013-11-04 20:30,7.9
2013-11-04 20:40,7.8
2013-11-04 20:50,7.8
2013-11-04 21:00,7.8
2013-11-04 21:10,7.9
2013-11-04 21:20,7
2013-11-04 21:30,6.2
2013-11-04 21:40,6
2013-11-04 21:50,6.5
2013-11-04 22:00,6.4
2013-11-04 22:10,11.4
2013-11-04 22:20,10.7
2013-11-04 22:30,10.1
2013-11-04 22:40,7.4
2013-11-04 22:50,8.5
2013-11-04 23:00,8.5
2013-11-04 23:10,8.2
2013-11-04 23:20,8.4
2013-11-04 23:30,8.3
2013-11-04 23:40,8.3
2013-11-04 23:50,8.6
2013-11-05 00:00,7.7
2013-11-05 00:10,7.4
2013-11-05 00:20,7.4
2013-11-05 00:30,7.4
2013-11-05 00:40,7.5
2013-11-05 00:50,7.4
2013-11-05 01:00,6.7
2013-11-05 01:10,6.6
2013-11-05 01:20,7.2
2013-11-05 01:30,5.3
2013-11-05 01:40,5.3
2013-11-05 01:50,5.2
2013-11-05 02:00,5.4
2013-11-05 02:10,6.2
2013-11-05 02:20,6.1
2013-11-05 02:30,6.1
2013-11-05 02:40,17.9
2013-11-05 02:50,20
2013-11-05 03:00,21
2013-11-05 03:10,21.2
2013-11-05 03:20,21.5
2013-11-05 03:30,21.6
2013-11-05 03:40,21.6
2013-11-05 03:50,20.5
2013-11-05 04:00,20.5
2013-11-05 04:10,20.9
2013-11-05 04:20,20.7
2013-11-05 04:30,20.6
2013-11-05 04:40,20.8
2013-11-05 04:50,20.7
2013-11-05 05:00,20.6
2013-11-05 05:10,20.6
2013-11-05 05:20,20.8
2013-11-05 05:30,20.7
2013-11-05 05:40,20.8
2013-11-05 05:50,20.8
2013-11-05 06:00,23
2013-11-05 06:10,24.2
2013-11-05 06:20,24
2013-11-05 06:30,24
2013-11-05 06:40,23.9
2013-11-05 06:50,8.2
2013-11-05 07:00,6.6
2013-11-05 07:10,7.7
2013-11-05 07:20,7.5
2013-11-05 07:30,6.5
2013-11-05 07:40,6.5
2013-11-05 07:50,6.4
2013-11-05 08:00,6.4
2013-11-05 08:10,6.4
2013-11-05 08:20,8.4
2013-11-05 08:30,8.6
2013-11-05 08:40,5.9
2013-11-05 08:50,6.3
2013-11-05 09:00,5.3
2013-11-05 09:10,6.3
2013-11-05 09:20,6.5
2013-11-05 09:30,6.6
2013-11-05 09:40,6.6
2013-11-05 09:50,6.7
2013-11-05 10:00,7.1
2013-11-05 10:10,6.5
2013-11-05 10:20,6.8
2013-11-05 10:30,6.6
2013-11-05 10:40,6.7
2013-11-05 10:50,6.5
2013-11-05 11:00,6.6
2013-11-05 11:10,6.4
2013-11-05 11:20,7.4
2013-11-05 11:30,7.4
2013-11-05 11:40,7.4
2013-11-05 11:50,7.6
2013-11-05 12:00,8.5
2013-11-05 12:10,8.6
2013-11-05 12:20,8.5
2013-11-05 12:30,8.7
2013-11-05 12:40,8.5
2013-11-05 12:50,8.5
2013-11-05 13:00,19.1
2013-11-05 13:10,21.1
2013-11-05 13:20,22.2
2013-11-05 13:30,21.4
2013-11-05 13:40,21.5
2013-11-05 13:50,21.6
2013-11-05 14:00,21.8
2013-11-05 14:10,21.7
2013-11-05 14:20,21.9
2013-11-05 14:30,23.4
2013-11-05 14:40,23.3
2013-11-05 14:50,23.2
2013-11-05 15:00,23.4
2013-11-05 15:10,23.4
2013-11-05 15:20,23.6
2013-11-05 15:30,21.9
2013-11-05 15:40,21.9
2013-11-05 15:50,22.1
2013-11-05 16:00,22.6
2013-11-05 16:10,24.1
2013-11-05 16:20,22.7
2013-11-05 16:30,23.8
2013-11-05 16:40,7.9
2013-11-05 16:50,7.9
2013-11-05 17:00,7.8
2013-11-05 17:10,7.6
2013-11-05 17:20,7.7
2013-11-05 17:30,7.8
2013-11-05 17:40,7.7
2013-11-05 17:50,7.7
2013-11-05 18:00,7.8
2013-11-05 18:10,7.7
2013-11-05 18:20,6.9
2013-11-05 18:30,7
2013-11-05 18:40,6.8
2013-11-05 18:50,7.3
2013-11-05 19:00,8.1
2013-11-05 19:10,8.4
2013-11-05 19:20,8.4
2013-11-05 19:30,8.3
2013-11-05 19:40,8.3
2013-11-05 19:50,8.1
2013-11-05 20:00,8.2
2013-11-05 20:10,8.3
2013-11-05 20:20,7.9
2013-11-05 20:30,7
2013-11-05 20:40,6.9
2013-11-05 20:50,7
2013-11-05 21:00,7.1
2013-11-05 21:10,7
2013-11-05 21:20,7.2
2013-11-05 21:30,7.3
2013-11-05 21:40,8.2
2013-11-05 21:50,7.9
2013-11-05 22:00,8.2
2013-11-05 22:10,8.1
2013-11-05 22:20,8
2013-11-05 22:30,8
2013-11-05 22:40,7.9
2013-11-05 22:50,7.9
2013-11-05 23:00,7.9
2013-11-05 23:10,8.1
2013-11-05 23:20,8
2013-11-05 23:30,7
2013-11-05 23:40,6.3
2013-11-05 23:50,5.9
2013-11-06 00:00,6.1
2013-11-06 00:10,6.1
2013-11-06 00:20,6.4
2013-11-06 00:30,6.6
2013-11-06 00:40,6.4
2013-11-06 00:50,6.4
2013-11-06 01:00,6.9
2013-11-06 01:10,9.8
2013-11-06 01:20,7.8
2013-11-06 01:30,7.5
2013-11-06 01:40,8.5
2013-11-06 01:50,8.9
2013-11-06 02:00,28.9
2013-11-06 02:10,28.3
2013-11-06 02:20,41.4
2013-11-06 02:30,41.1
2013-11-06 02:40,28.8
2013-11-06 02:50,28.9
2013-11-06 03:00,40.7
2013-11-06 03:10,40.7
2013-11-06 03:20,28.3
2013-11-06 03:30,28.5
2013-11-06 03:40,40.3
2013-11-06 03:50,27.7
2013-11-06 04:00,27.4
2013-11-06 04:10,7.6
2013-11-06 04:20,7.6
2013-11-06 04:30,20
2013-11-06 04:40,19.7
2013-11-06 04:50,7.5
2013-11-06 05:00,7.8
2013-11-06 05:10,18.7
2013-11-06 05:20,6.8
2013-11-06 05:30,8
2013-11-06 05:40,7.7
2013-11-06 05:50,7.8
2013-11-06 06:00,7.4
2013-11-06 06:10,7.3
2013-11-06 06:20,7.4
2013-11-06 06:30,7.4
2013-11-06 06:40,7.2
2013-11-06 06:50,7.4
2013-11-06 07:00,7.7
2013-11-06 07:10,8.5
2013-11-06 07:20,7.7
2013-11-06 07:30,7.4
2013-11-06 07:40,7.4
2013-11-06 07:50,7.5
2013-11-06 08:00,7.5
2013-11-06 08:10,7.4
2013-11-06 08:20,7.4
2013-11-06 08:30,7.4
2013-11-06 08:40,9.1
2013-11-06 08:50,7.3
2013-11-06 09:00,7.2
2013-11-06 09:10,7.3
2013-11-06 09:20,6.5
2013-11-06 09:30,7
2013-11-06 09:40,6.8
2013-11-06 09:50,7.1
2013-11-06 10:00,6.8
2013-11-06 10:10,6.5
2013-11-06 10:20,8.3
2013-11-06 10:30,7.1
2013-11-06 10:40,6.4
2013-11-06 10:50,7.2
2013-11-06 11:00,7
2013-11-06 11:10,7.2
2013-11-06 11:20,8.9
2013-11-06 11:30,8.8
2013-11-06 11:40,9.7
2013-11-06 11:50,9.9
2013-11-06 12:00,8.3
2013-11-06 12:10,7.9
2013-11-06 12:20,7.9
2013-11-06 12:30,9.1
2013-11-06 12:40,9.1
2013-11-06 12:50,9
2013-11-06 13:00,9
2013-11-06 13:10,9.1
2013-11-06 13:20,8.9
2013-11-06 13:30,9
2013-11-06 13:40,17.3
2013-11-06 13:50,9
2013-11-06 14:00,8.9
2013-11-06 14:10,7.2
2013-11-06 14:20,7.1
2013-11-06 14:30,7.2
2013-11-06 14:40,7.1
2013-11-06 14:50,7.1
2013-11-06 15:00,7.2
2013-11-06 15:10,6.9
2013-11-06 15:20,7
2013-11-06 15:30,7
2013-11-06 15:40,7.1
2013-11-06 15:50,7.1
2013-11-06 16:00,8.3
2013-11-06 16:10,8.2
2013-11-06 16:20,9.1
2013-11-06 16:30,8.9
2013-11-06 16:40,8.9
2013-11-06 16:50,9.1
2013-11-06 17:00,9
2013-11-06 17:10,9.2
2013-11-06 17:20,8.9
2013-11-06 17:30,9
2013-11-06 17:40,8.2
2013-11-06 17:50,8.4
2013-11-06 18:00,8.4
2013-11-06 18:10,8.3
2013-11-06 18:20,8.3
2013-11-06 18:30,7.7
2013-11-06 18:40,7.3
2013-11-06 18:50,7.7
2013-11-06 19:00,6.5
2013-11-06 19:10,5.8
2013-11-06 19:20,16.7
2013-11-06 19:30,19.7
2013-11-06 19:40,20.8
2013-11-06 19:50,19.8
2013-11-06 20:00,20
2013-11-06 20:10,20.5
2013-11-06 20:20,19.8
2013-11-06 20:30,21.3
2013-11-06 20:40,20.7
2013-11-06 20:50,20.7
2013-11-06 21:00,20.6
2013-11-06 21:10,21.8
2013-11-06 21:20,21.9
2013-11-06 21:30,21.8
2013-11-06 21:40,21.8
2013-11-06 21:50,22.1
2013-11-06 22:00,20.9
2013-11-06 22:10,21
2013-11-06 22:20,20.7
2013-11-06 22:30,21
2013-11-06 22:40,21.1
2013-11-06 22:50,21
2013-11-06 23:00,5.3
2013-11-06 23:10,4.1
2013-11-06 23:20,4.2
2013-11-06 23:30,4.3
2013-11-06 23:40,6.8
2013-11-06 23:50,7.9
2013-11-07 00:00,8.1
2013-11-07 00:10,7.9
2013-11-07 00:20,8.8
2013-11-07 00:30,8.9
2013-11-07 00:40,8.2
2013-11-07 00:50,10.8
2013-11-07 01:00,11.4
2013-11-07 01:10,10.6
2013-11-07 01:20,12.5
2013-11-07 01:30,13
2013-11-07 01:40,13.1
2013-11-07 01:50,13.2
2013-11-07 02:00,12.7
2013-11-07 02:10,13.5
2013-11-07 02:20,13.1
2013-11-07 02:30,14.3
2013-11-07 02:40,13.7
2013-11-07 02:50,13.1
2013-11-07 03:00,13.4
2013-11-07 03:10,13
2013-11-07 03:20,14.3
2013-11-07 03:30,14.1
2013-11-07 03:40,13.9
2013-11-07 03:50,13.7
2013-11-07 04:00,14.7
2013-11-07 04:10,14.9
2013-11-07 04:20,13.3
2013-11-07 04:30,14
2013-11-07 04:40,14.1
2013-11-07 04:50,16.9
2013-11-07 05:00,12.6
2013-11-07 05:10,15.3
2013-11-07 05:20,15.9
2013-11-07 05:30,15.7
2013-11-07 05:40,15.9
2013-11-07 05:50,15.9
2013-11-07 06:00,24
2013-11-07 06:10,15.8
2013-11-07 06:20,15.1
2013-11-07 06:30,15.7
2013-11-07 06:40,13.9
2013-11-07 06:50,15.4
2013-11-07 07:00,16.2
2013-11-07 07:10,16.3
2013-11-07 07:20,12.3
2013-11-07 07:30,12.9
2013-11-07 07:40,12
2013-11-07 07:50,15.9
2013-11-07 08:00,10.5
2013-11-07 08:10,11.6
2013-11-07 08:20,9.6
2013-11-07 08:30,12.8
2013-11-07 08:40,14
2013-11-07 08:50,13.9
2013-11-07 09:00,13.1
2013-11-07 09:10,13.7
2013-11-07 09:20,15.1
2013-11-07 09:30,17.2
2013-11-07 09:40,13.6
2013-11-07 09:50,14.5
2013-11-07 10:00,17.2
2013-11-07 10:10,14.9
2013-11-07 10:20,14.1
2013-11-07 10:30,13.4
2013-11-07 10:40,14.4
2013-11-07 10:50,13.1
2013-11-07 11:00,12.8
2013-11-07 11:10,11.9
2013-11-07 11:20,12.5
2013-11-07 11:30,13.3
2013-11-07 11:40,13.4
2013-11-07 11:50,23.2
2013-11-07 12:00,17.8
2013-11-07 12:10,17.4
2013-11-07 12:20,19.6
2013-11-07 12:30,19.3
2013-11-07 12:40,17.9
2013-11-07 12:50,17.4
2013-11-07 13:00,17.5
2013-11-07 13:10,12.1
2013-11-07 13:20,11.3
2013-11-07 13:30,7.6
2013-11-07 13:40,10.6
2013-11-07 13:50,10.7
2013-11-07 14:00,10.5
2013-11-07 14:10,10.5
2013-11-07 14:20,10.5
2013-11-07 14:30,10.5
2013-11-07 14:40,10.4
2013-11-07 14:50,10.3
2013-11-07 15:00,11.3
2013-11-07 15:10,13.3
2013-11-07 15:20,11.4
2013-11-07 15:30,10.6
2013-11-07 15:40,10.5
2013-11-07 15:50,10.5
2013-11-07 16:00,10.4
2013-11-07 16:10,12
2013-11-07 16:20,11.6
2013-11-07 16:30,10.1
2013-11-07 16:40,10.9
2013-11-07 16:50,12.1
2013-11-07 17:00,12.1
2013-11-07 17:10,12.1
2013-11-07 17:20,12.8
2013-11-07 17:30,12.8
2013-11-07 17:40,10
2013-11-07 17:50,10
2013-11-07 18:00,10.2
2013-11-07 18:10,11.2
2013-11-07 18:20,11.1
2013-11-07 18:30,11
2013-11-07 18:40,11
2013-11-07 18:50,11.9
2013-11-07 19:00,11.9
2013-11-07 19:10,11.9
2013-11-07 19:20,12
2013-11-07 19:30,11.9
2013-11-07 19:40,13.6
2013-11-07 19:50,13.6
2013-11-07 20:00,13.3
2013-11-07 20:10,13.6
2013-11-07 20:20,12.2
2013-11-07 20:30,12.2
2013-11-07 20:40,12.7
2013-11-07 20:50,12.4
2013-11-07 21:00,13.6
2013-11-07 21:10,13.5
2013-11-07 21:20,13.4
2013-11-07 21:30,13.6
2013-11-07 21:40,11.6
2013-11-07 21:50,12.1
2013-11-07 22:00,9.1
2013-11-07 22:10,8.8
2013-11-07 22:20,8.6
2013-11-07 22:30,8.5
2013-11-07 22:40,8.4
2013-11-07 22:50,10.3
2013-11-07 23:00,10.2
2013-11-07 23:10,8.9
2013-11-07 23:20,8.2
2013-11-07 23:30,8.1
2013-11-07 23:40,6.8
2013-11-07 23:50,6.7
2013-11-08 00:00,6.7
2013-11-08 00:10,7.2
2013-11-08 00:20,7.2
2013-11-08 00:30,6.7
2013-11-08 00:40,7.7
2013-11-08 00:50,8
2013-11-08 01:00,9
2013-11-08 01:10,8.4
2013-11-08 01:20,9
2013-11-08 01:30,8.1
2013-11-08 01:40,8.8
2013-11-08 01:50,10.1
2013-11-08 02:00,10.9
2013-11-08 02:10,10.9
2013-11-08 02:20,11
2013-11-08 02:30,10.8
2013-11-08 02:40,11
2013-11-08 02:50,9.8
2013-11-08 03:00,9.6
2013-11-08 03:10,9.8
2013-11-08 03:20,9.9
2013-11-08 03:30,9.8
2013-11-08 03:40,9.3
2013-11-08 03:50,9.8
2013-11-08 04:00,9.8
2013-11-08 04:10,9.8
2013-11-08 04:20,10.4
2013-11-08 04:30,9.1
2013-11-08 04:40,9.2
2013-11-08 04:50,9.1
2013-11-08 05:00,8.9
2013-11-08 05:10,9
2013-11-08 05:20,9.2
2013-11-08 05:30,22.1
2013-11-08 05:40,23.2
2013-11-08 05:50,23.6
2013-11-08 06:00,23.7
2013-11-08 06:10,23.6
2013-11-08 06:20,23.6
2013-11-08 06:30,23.3
2013-11-08 06:40,23.5
2013-11-08 06:50,23.6
2013-11-08 07:00,23.8
2013-11-08 07:10,25.1
2013-11-08 07:20,25.2
2013-11-08 07:30,25.1
2013-11-08 07:40,25
2013-11-08 07:50,25.3
2013-11-08 08:00,25.7
2013-11-08 08:10,25
2013-11-08 08:20,27.9
2013-11-08 08:30,27.9
2013-11-08 08:40,28.6
2013-11-08 08:50,27.6
2013-11-08 09:00,24.8
2013-11-08 09:10,24.8
2013-11-08 09:20,24.7
2013-11-08 09:30,8
2013-11-08 09:40,6.9
2013-11-08 09:50,7
2013-11-08 10:00,6.8
2013-11-08 10:10,6.9
2013-11-08 10:20,7.1
2013-11-08 10:30,8
2013-11-08 10:40,7.9
2013-11-08 10:50,9
2013-11-08 11:00,8.9
2013-11-08 11:10,8.8
2013-11-08 11:20,8.7
2013-11-08 11:30,8.6
2013-11-08 11:40,8.7
2013-11-08 11:50,8.7
2013-11-08 12:00,8.7
2013-11-08 12:10,9.7
2013-11-08 12:20,8.8
2013-11-08 12:30,9.1
2013-11-08 12:40,9.1
2013-11-08 12:50,9.1
2013-11-08 13:00,9.2
2013-11-08 13:10,9.1
2013-11-08 13:20,9.1
2013-11-08 13:30,9.2
2013-11-08 13:40,9.1
2013-11-08 13:50,9.1
2013-11-08 14:00,10.8
2013-11-08 14:10,10.5
2013-11-08 14:20,10.2
2013-11-08 14:30,9.1
2013-11-08 14:40,9.2
2013-11-08 14:50,9.2
2013-11-08 15:00,9
2013-11-08 15:10,9.1
2013-11-08 15:20,9
2013-11-08 15:30,8.3
2013-11-08 15:40,8.1
2013-11-08 15:50,7.8
2013-11-08 16:00,8.1
2013-11-08 16:10,8.1
2013-11-08 16:20,8.1
2013-11-08 16:30,8.1
2013-11-08 16:40,8.1
2013-11-08 16:50,8.1
2013-11-08 17:00,8.1
2013-11-08 17:10,9.2
2013-11-08 17:20,10.7
2013-11-08 17:30,11.8
2013-11-08 17:40,12.8
2013-11-08 17:50,12.7
2013-11-08 18:00,11
2013-11-08 18:10,11
2013-11-08 18:20,11.2
2013-11-08 18:30,11.9
2013-11-08 18:40,11.6
2013-11-08 18:50,10.9
2013-11-08 19:00,10.8
2013-11-08 19:10,10.8
2013-11-08 19:20,11
2013-11-08 19:30,17.4
2013-11-08 19:40,16.4
2013-11-08 19:50,15.6
2013-11-08 20:00,14.5
2013-11-08 20:10,8.4
2013-11-08 20:20,13.3
2013-11-08 20:30,13.4
2013-11-08 20:40,13.4
2013-11-08 20:50,19.8
,19.4
,19.2
,19.1
,13
,12.9
,53.4
,54.8
,61.3
,61.4
,62.3
,62.2
,55.9
,57.2
,56.5
,52.9
,56.7
,56.7
,57.1
,56.7
,55.7
,66.2
,67.5
,66.5
,65.8
,65.7
,55.5
,55.5
,54.4
,53.2
,53.7
,53.6
,56
,55.5
,59.8
,60
,60
,60.1
,60.5
,24.3
,26.3
,64.4
,27.2
,25.3
,25.5
,25.6
,26.9
,25.7
,23.3
,23.3
,23.6
,17.1
,14.5
,14.5
,16
,17.1
,15.9
,16
,16.2
,13.8
,13.7
,13.7
,13.8
,16.1
,18.2
,23.3
,23.2
,23.2
,23.2
,23.1
,23.2
,23.2
,24.3
,24.2
,24.2
,24.2
,24
,24.2
,26.8
,26.8
,27
,28
,27.8
,28.3
,29.5
,29.3
,28.1
,24.6
,21.4
,19.1
,19.5
,19.2
,19.7
,18.3
,20.3
,20.5
,20.4
,13.5
,14.2
,14.2
,14
,15.4
,15.2
,15.3
,14.3
,14.3
,14.3
,14.6
,14.4
,14.6
,14.8
,14.4
,15.9
,15.9
,14.9
,13.2
,12.7
,13.3
,13.3
,13.2
,13.3
,13.3
,12.9
,12.9
,14.4
,12.9
,13.9
,14.4
,14.3
,14.3
,19.3
,15.3
,15.3
,15.2
,15.1
,15.9
,15.9
,14.6
,14.6
,15.2
,14
,13.9
,12.4
,14.5
,13.6
,11
,10.9
,11.6
,11.7
,13.5
,13.9
,14.8
,14.8
,14.7
,14.7
,14.6
,14.6
,14.6
,14.4
,14.4
,14.4
,14.8
,14.6
,14.8
,28.5
,29.7
,28.3
,28.5
,28.4
,28.8
,28.4
,29.1
,27.7
,27.7
,27.6
,29
,28.9
,28.9
,28.6
,29.1
,29.1
,28.9
,28.9
,30.1
,28.5
,13.8
,11
,11.1
,11.6
,13.3
,12.3
,13.4
,13.9
,13.5
,13.8
,13.4
,13.2
,13.5
,13.1
,14.1
,13.7
,11.7
,22.7
,23.6
,23.4
,11.1
,11
,9.4
,9
,9.1
,9
,9
,9
,8.9
,9.5
,10.2
,9.8
,9.6
,10.9
,10.6
,10.7
,10.7
,10.7
,10
,11.3
,10
,10.1
,10
,10
,11.1
,10
,10
,9.9
,9.9
,10
,10
,9.9
,11.4
,9.4
,9.1
,8.9
,8.9
,8.9
,8.9
,8.8
,9
,9.1
,10.1
,10
,9.9
,10.2
,10
,10.6
,22.5
,24.8
,25.3
,25.4
,25.5
,26.3
,24.3
,24.4
,24.4
,25.1
,22
,22.2
,22.2
,25
,23.4
,22.7
,22.8
,22.9
,25
,25.2
,24.2
,23.8
,23.9
,8.7
,9.6
,9.5
,6.6
,5.6
,5.6
,5.6
,5.6
,5.7
,5.6
,5.7
,5.6
,4.5
,4.4
,4.4
,4.4
,4.6
,4.6
,5.1
,4.9
,4.9
,5
,4.9
,4.9
,4.9
,4.9
,4.3
,4.4
,4.3
,4.3
